,climate,Code,daytime,Tmax,Tmin,Rhmean,u2,GAMA,Rn,G,es
3347,Cfa,40719,12/1/2007,12.73,4.7,71.2,1.24,0.07,-0.38,-0.84,1.16
3348,Cfa,40719,1/1/2008,4.76,-2.25,68.3,1.76,0.07,0.26,-0.22,0.69
3349,Cfa,40719,2/1/2008,9.3,1.78,71.9,1.49,0.07,1.94,0.95,0.93
3350,Cfa,40719,3/1/2008,21.58,7.97,48.4,1.43,0.07,4.85,0.8,1.82
3351,Cfa,40719,4/1/2008,22.16,11.89,40.1,1.26,0.07,7.69,0.34,2.03
3352,Cfa,40719,5/1/2008,23.3,15.96,31.3,1.45,0.07,9.24,0.41,2.34
3353,Cfa,40719,6/1/2008,26.78,19.07,28.5,1.29,0.07,10.76,0.43,2.86
3354,Cfa,40719,7/1/2008,29.72,21.7,25.4,1.2,0.07,10.62,0.27,3.39
3355,Cfa,40719,8/1/2008,32.26,21.41,28.0,1.19,0.07,9.62,-0.13,3.69
3356,Cfa,40719,9/1/2008,27.43,20.41,34.7,1.17,0.07,5.19,-0.58,3.03
3357,Cfa,40719,10/1/2008,21.34,15.69,51.3,1.13,0.07,2.65,-0.75,2.16
3358,Cfa,40719,11/1/2008,17.46,8.89,65.6,0.89,0.07,0.56,-0.73,1.57
3359,Cfa,40719,12/1/2008,11.37,4.94,50.7,1.33,0.07,-0.22,-0.51,1.11
3360,Cfa,40719,1/1/2009,9.42,2.49,58.8,0.95,0.07,0.26,0.1,0.96
3361,Cfa,40719,2/1/2009,12.91,6.31,68.9,1.2,0.07,2.04,0.4,1.22
3362,Cfa,40719,3/1/2009,16.02,7.24,65.9,1.43,0.07,4.55,0.15,1.42
3363,Cfa,40719,4/1/2009,15.45,7.96,56.9,1.41,0.07,6.99,0.56,1.41
3364,Cfa,40719,5/1/2009,23.83,15.51,36.8,1.3,0.07,10.05,0.88,2.36
3365,Cfa,40719,6/1/2009,28.3,20.13,34.6,1.24,0.07,11.69,0.49,3.1
3366,Cfa,40719,7/1/2009,31.01,22.31,32.1,1.39,0.07,11.09,-0.03,3.6
3367,Cfa,40719,8/1/2009,27.38,20.19,29.0,1.12,0.07,7.42,-0.32,3.01
3368,Cfa,40719,9/1/2009,26.32,17.95,41.2,1.2,0.07,5.6,-0.32,2.74
3369,Cfa,40719,10/1/2009,24.0,14.35,40.8,0.88,0.07,2.48,-0.54,2.31
3370,Cfa,40719,11/1/2009,18.83,10.11,67.2,0.93,0.07,0.62,-0.6,1.71
3371,Cfa,40719,12/1/2009,14.19,6.99,72.3,0.99,0.07,-0.02,-0.35,1.31
3372,Cfa,40719,1/1/2010,12.85,6.18,67.5,0.84,0.07,0.53,-0.19,1.22
3373,Cfa,40719,2/1/2010,10.59,5.27,72.1,1.29,0.07,2.07,0.03,1.08
3374,Cfa,40719,3/1/2010,13.2,6.58,60.0,1.26,0.07,4.2,0.39,1.25
3375,Cfa,40719,4/1/2010,16.93,10.09,63.0,1.27,0.07,6.86,0.72,1.58
3376,Cfa,40719,5/1/2010,24.04,16.36,50.7,1.32,0.07,9.93,0.92,2.43
3377,Cfa,40719,6/1/2010,31.37,21.87,30.3,1.12,0.07,12.63,0.54,3.61
3378,Cfa,40719,7/1/2010,32.64,23.21,23.6,0.94,0.07,11.44,0.04,3.89
3379,Cfa,40719,8/1/2010,33.0,21.28,30.1,0.73,0.07,9.52,-0.25,3.78
3380,Cfa,40719,9/1/2010,29.09,19.55,30.0,0.7,0.07,5.68,-0.5,3.15
3381,Cfa,40719,10/1/2010,23.07,16.86,40.9,0.82,0.07,2.49,-0.7,2.37
3382,Cfa,40719,11/1/2010,19.67,9.05,32.7,0.56,0.07,-0.59,-0.49,1.72
3383,Cfa,40719,12/1/2010,18.51,7.52,52.8,1.17,0.07,-0.61,-0.41,1.59
3384,Cfa,40719,1/1/2011,12.32,4.68,73.2,1.59,0.07,0.3,-0.44,1.14
3385,Cfa,40719,2/1/2011,10.1,3.41,67.5,1.93,0.07,1.96,0.04,1.01
3386,Cfa,40719,3/1/2011,13.02,5.07,54.0,1.54,0.07,4.49,0.54,1.19
3387,Cfa,40719,4/1/2011,19.32,9.7,57.4,1.6,0.07,6.96,0.78,1.72
3388,Cfa,40719,5/1/2011,24.07,16.21,52.7,1.17,0.07,9.77,0.69,2.42
3389,Cfa,40719,6/1/2011,28.31,20.32,33.1,1.37,0.07,11.01,0.53,3.12
3390,Cfa,40719,7/1/2011,32.97,22.55,25.6,1.3,0.07,11.92,0.04,3.88
3391,Cfa,40719,8/1/2011,28.33,21.42,29.9,1.31,0.07,7.68,-0.42,3.2
3392,Cfa,40719,9/1/2011,25.54,17.91,31.3,1.2,0.07,5.17,-0.52,2.66
3393,Cfa,40719,10/1/2011,21.49,13.43,41.2,1.13,0.07,2.45,-0.91,2.05
3394,Cfa,40719,11/1/2011,11.9,5.59,64.8,1.56,0.07,0.8,-0.66,1.15
3395,Cfa,40719,12/1/2011,11.88,4.24,58.9,1.02,0.07,-0.62,-0.12,1.11
3396,Cfa,40719,1/1/2012,11.04,3.07,73.3,1.53,0.07,0.08,-0.25,1.04
3397,Cfa,40719,2/1/2012,7.99,0.92,65.5,1.58,0.07,1.9,0.03,0.86
3398,Cfa,40719,3/1/2012,11.95,3.13,63.0,1.51,0.07,4.73,0.91,1.08
3399,Cfa,40719,4/1/2012,22.74,12.3,53.0,1.33,0.07,8.06,1.08,2.1
3400,Cfa,40719,5/1/2012,27.6,18.39,38.6,1.3,0.07,10.75,0.52,2.91
3401,Cfa,40719,6/1/2012,29.61,20.21,30.4,1.28,0.07,12.16,0.17,3.26
3402,Cfa,40719,7/1/2012,29.55,21.39,28.5,1.18,0.07,10.63,0.14,3.34
3403,Cfa,40719,8/1/2012,32.01,21.81,24.7,1.11,0.07,8.85,-0.22,3.69
3404,Cfa,40719,9/1/2012,26.48,18.14,31.6,1.11,0.07,5.27,-0.48,2.77
3405,Cfa,40719,10/1/2012,25.25,14.9,49.2,0.78,0.07,2.78,-0.55,2.46
3406,Cfa,40719,11/1/2012,18.23,10.76,68.9,1.1,0.07,0.81,-0.75,1.69
3407,Cfa,40719,12/1/2012,13.44,5.41,68.9,1.49,0.07,-0.22,-0.38,1.22
3408,Cfa,40719,1/1/2013,15.16,2.85,73.9,1.38,0.07,-0.16,-0.0,1.24
3409,Cfa,40719,2/1/2013,12.88,5.91,68.1,0.99,0.07,2.02,0.17,1.21
3410,Cfa,40719,3/1/2013,16.44,6.55,55.5,1.36,0.07,4.5,0.38,1.42
3411,Cfa,40719,4/1/2013,19.36,10.17,49.5,1.17,0.07,7.31,0.63,1.75
3412,Cfa,40719,5/1/2013,25.66,15.28,50.7,1.15,0.07,11.34,0.67,2.52
3413,Cfa,40719,6/1/2013,29.08,19.47,28.6,1.24,0.07,11.9,0.35,3.14
3414,Cfa,40719,7/1/2013,30.13,20.67,26.2,1.2,0.07,10.59,0.02,3.36
3415,Cfa,40719,8/1/2013,28.87,20.17,31.0,1.04,0.07,8.05,-0.13,3.17
3416,Cfa,40719,9/1/2013,27.22,19.8,25.6,1.12,0.07,4.76,-0.54,2.96
3417,Cfa,40719,10/1/2013,21.48,12.15,38.9,1.39,0.07,2.37,-0.68,1.99
3418,Cfa,40719,11/1/2013,17.29,10.29,67.6,0.99,0.07,0.87,-0.63,1.61
3419,Cfa,40719,12/1/2013,12.24,3.39,63.3,1.28,0.07,-0.63,-0.37,1.1
3420,Cfa,40719,1/1/2014,12.11,4.99,67.9,1.29,0.07,0.33,-0.14,1.14
3421,Cfa,40719,2/1/2014,9.11,2.5,54.4,1.05,0.07,1.8,0.16,0.94
3422,Cfa,40719,3/1/2014,14.65,7.12,60.6,1.49,0.07,4.55,0.63,1.34
3423,Cfa,40719,4/1/2014,19.18,10.34,53.4,1.37,0.07,7.94,0.83,1.74
3424,Cfa,40719,5/1/2014,27.37,17.99,39.3,1.17,0.07,11.02,0.72,2.85
3425,Cfa,40719,6/1/2014,29.53,20.67,29.7,1.33,0.07,11.8,0.29,3.29
3426,Cfa,40719,7/1/2014,31.1,22.53,28.7,1.24,0.07,11.22,0.21,3.63
3427,Cfa,40719,8/1/2014,33.88,22.37,25.4,1.17,0.07,10.05,-0.16,4.0
3428,Cfa,40719,9/1/2014,28.52,20.51,28.7,1.22,0.07,5.36,-0.79,3.16
3429,Cfa,40719,10/1/2014,19.82,13.83,58.6,1.07,0.07,2.7,-0.93,1.95
3430,Cfa,40719,11/1/2014,14.58,7.97,62.3,1.03,0.07,0.6,-0.49,1.37
3431,Cfa,40719,12/1/2014,13.58,6.08,75.4,0.74,0.07,-0.12,-0.17,1.25
3432,Cfa,40719,1/1/2015,12.45,5.28,65.0,1.42,0.07,0.24,-0.07,1.17
3433,Cfa,40719,2/1/2015,11.64,5.99,62.2,1.37,0.07,1.96,0.08,1.15
3434,Cfa,40719,3/1/2015,12.91,6.97,60.3,1.18,0.07,4.38,0.36,1.24
3435,Cfa,40719,4/1/2015,18.16,9.72,49.7,1.13,0.07,7.37,0.74,1.65
3436,Cfa,40719,5/1/2015,24.74,16.14,39.7,1.13,0.07,10.05,0.82,2.48
3437,Cfa,40719,6/1/2015,30.48,20.94,26.6,1.2,0.07,12.7,0.45,3.42
3438,Cfa,40719,7/1/2015,31.39,22.28,23.5,1.16,0.07,11.36,0.05,3.64
3439,Cfa,40719,8/1/2015,30.84,22.12,24.4,1.18,0.07,8.55,-0.21,3.56
3440,Cfa,40719,9/1/2015,28.48,19.3,32.3,0.86,0.07,5.8,-0.53,3.06
3441,Cfa,40719,10/1/2015,21.54,16.26,59.1,1.31,0.07,2.74,-0.77,2.21
3442,Cfa,40719,11/1/2015,16.86,8.79,66.2,1.08,0.07,0.61,-0.69,1.53
3443,Cfa,40719,12/1/2015,13.35,4.82,74.1,1.01,0.07,-0.48,-0.25,1.2
3444,Cfa,40719,1/1/2016,13.2,5.27,75.5,1.44,0.07,0.19,-0.0,1.2
3445,Cfa,40719,2/1/2016,13.34,4.78,65.5,1.13,0.07,1.91,0.24,1.2
3446,Cfa,40719,3/1/2016,16.39,8.83,64.6,1.44,0.07,4.47,0.45,1.5
3447,Cfa,40719,4/1/2016,19.6,11.28,53.5,1.19,0.07,7.3,0.58,1.81
3448,Cfa,40719,5/1/2016,24.52,17.25,44.2,1.13,0.07,9.89,0.65,2.52
3449,Cfa,40719,6/1/2016,28.93,20.64,36.1,1.21,0.07,11.81,0.33,3.21
3450,Cfa,40719,7/1/2016,29.17,21.95,30.2,1.02,0.07,9.65,0.2,3.34
3451,Cfa,40719,8/1/2016,33.51,21.77,22.9,0.85,0.07,9.95,-0.15,3.89
3452,Cfa,40719,9/1/2016,27.04,19.73,31.0,1.19,0.07,5.05,-0.75,2.94
3453,Cfa,40719,10/1/2016,19.69,14.18,40.9,1.59,0.07,2.45,-0.91,1.96
3454,Cfa,40719,11/1/2016,13.91,6.81,43.1,0.96,0.07,0.23,-0.62,1.29
3455,Cfa,40719,12/1/2016,10.91,5.19,78.9,1.62,0.07,-0.05,-0.23,1.09
